Table A1: SAT Total to ACT Composite.,,,,,,Table A2: ACT Composite to SAT Total.,,
SAT,ACT,,SAT,ACT,,ACT ,SAT, SAT Range
1600,36,,1090,21,,36,1590,1570-1600
*1590,36,,*1080,21,,35,1540,1530-1560
1580,36,,1070,21,,34,1500,1490-1520
1570,36,,1060,21,,33,1460,1450-1480
1560,35,,1050,20,,32,1430,1420-1440
1550,35,,*1040,20,,31,1400,1390-1410
*1540,35,,1030,20,,30,1370,1360-1380
1530,35,,1020,19,,29,1340,1330-1350
1520,34,,*1010,19,,28,1310,1300-1320
1510,34,,1000,19,,27,1280,1260-1290
*1500,34,,990,19,,26,1240,1230-1250
1490,34,,980,18,,25,1210,1200-1220
1480,33,,*970,18,,24,1180,1160-1190
1470,33,,960,18,,23,1140,1130-1150
*1460,33,,950,17,,22,1110,1100-1120
1450,33,,940,17,,21,1080,1060-1090
1440,32,,*930,17,,20,1040,1030-1050
*1430,32,,920,17,,19,1010,990-1020
1420,32,,910,16,,18,970,960-980
1410,31,,900,16,,17,930,920-950
*1400,31,,*890,16,,16,890,880-910
1390,31,,880,16,,15,850,830-870
1380,30,,870,15,,14,800,780-820
*1370,30,,860,15,,13,760,730-770
1360,30,,*850,15,,12,710,690-720
1350,29,,840,15,,11,670,650-680
*1340,29,,830,15,,10,630,620–640
1330,29,,820,14,,9,590,590–610
1320,28,,810,14,,,,
*1310,28,,*800,14,,,,
1300,28,,790,14,,,,
1290,27,,780,14,,,,
*1280,27,,770,13,,,,
1270,27,,*760,13,,,,
1260,27,,750,13,,,,
1250,26,,740,13,,,,
*1240,26,,730,13,,,,
1230,26,,720,12,,,,
1220,25,,*710,12,,,,
*1210,25,,700,12,,,,
1200,25,,690,12,,,,
1190,24,,680,11,,,,
*1180,24,,*670,11,,,,
1170,24,,660,11,,,,
1160,24,,650,11,,,,
1150,23,,640,10,,,,
*1140,23,,*630,10,,,,
1130,23,,620,10,,,,
1120,22,,610,9,,,,
*1110,22,,600,9,,,,
1100,22,,*590,9,,,,
,,,,,,,,
*Use this SAT score when a single score point comparison is needed. ,,,,,,,,
,,,,,,,,
Note: Concordance tables for the ACT Composite were derived from concordances of the ACT sum score.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
