school,test_optional_or_no,applies_to_class_year_s,policy_details,number_of_applicants,accept_rate,sat_tot_25th_percentile,sat_tot_75th_percentile,act_composite_25th_percentile,act_composite_75th_percentile,sat_equiv_of_act_25th,sat_equiv_of_act_75th,sat_minus_sat_equiv_25th_perc,sat_minus_sat_equiv_75th_perc
Stanford University,Yes,2021,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,0.043,1440,1570,32,35,1430,1540,10,30
Harvard College,Yes,2021,Harvard has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Harvard does not offer merit-based aid.,42749,0.047,1460,1580,33,35,1460,1540,0,40
Princeton University,Yes,2021,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,0.055,1440,1570,32,35,1430,1540,10,30
Columbia University,Yes,2021,Columbia has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Columbia does not offer merit-based aid.,40203,0.055,1450,1560,33,35,1460,1540,-10,20
Yale University,Yes,2021,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,0.061,1460,1570,33,35,1460,1540,0,30
California Institute of Technology,Yes (TB),2021 2022,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,0.064,1530,1560,35,36,1540,1590,-10,-30
Massachusetts Institute of Technology,Yes,2021,MIT has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. MIT will not consider SAT Subject Test scores. MIT does not offer merit-based aid.,21706,0.067,1500,1570,34,36,1500,1590,0,-20
Brown University,Yes,2021,Brown has adopted a one-year test optional policy for the 2020-21 admission cycle. Brown does not offer merit-based aid.,38674,0.071,1440,1570,33,35,1460,1540,-20,30
University of Chicago,Yes,All / Permanent Policy,UChicago offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,32283,0.073,1490,1570,33,35,1460,1540,30,30
Pomona College,Yes,2021,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,0.07400000000000001,1390,1540,32,35,1430,1540,-40,0
University of Pennsylvania,Yes,2021,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,0.077,1450,1560,33,35,1460,1540,-10,20
Dartmouth College,Yes,2021,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,0.079,1440,1560,32,35,1430,1540,10,20
Bowdoin College,Yes,All / Permanent Policy,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,0.08800000000000001,1330,1520,31,34,1400,1500,-70,20
Duke University,Yes,2021,Duke has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,35767,0.08900000000000001,1450,1570,33,35,1460,1540,-10,30
Swarthmore College,Yes,2021 2022,Swarthmore has adopted a two-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Swarthmore will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,11442,0.08900000000000001,1380,1540,31,35,1400,1540,-20,0
Northwestern University,Yes,2021,Northwestern has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40585,0.091,1440,1550,33,35,1460,1540,-20,10
Vanderbilt University,Yes,2021,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,0.091,1460,1560,33,35,1460,1540,0,20
Claremont McKenna College,Yes,2021,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,0.10300000000000001,1360,1510,31,34,1400,1500,-40,10
Johns Hopkins University,Yes,2021,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,0.106,1470,1560,33,35,1460,1540,10,20
Cornell University,Yes,2021,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,0.109,1400,1560,32,35,1430,1540,-30,20
Rice University,Yes,2021,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,0.111,1450,1560,33,35,1460,1540,-10,20
Amherst College,Yes,2021,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,0.113,1410,1550,31,34,1400,1500,10,50
Barnard College,Yes,2021,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,0.11800000000000001,1340,1520,31,34,1400,1500,-60,20
Bates College,Yes,All / Permanent Policy,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,0.121,1270,1480,29,33,1340,1460,-70,20
University of California—​Los Angeles,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,0.12300000000000001,1290,1510,27,34,1280,1500,10,10
Tulane University,Yes,2021,Tulane has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,42185,0.129,1360,1520,31,33,1400,1460,-40,60
University of Southern California,Yes,2021,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,0.13,1350,1530,30,34,1370,1500,-20,30
Williams College,Yes,2021,Williams College has adopted a one-year test optional policy for first-time international and transfer applicants in the 2020-21 admission cycle. Williams college does not offer merit-based aid.,9560,0.13,1410,1550,32,35,1430,1540,-20,10
Colby College,Yes,All / Permanent Policy,Colby College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.,12313,0.13,1350,1510,31,33,1400,1460,-50,50
Pitzer College,Yes,All / Permanent Policy,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,0.133,1340,1490,30,33,1370,1460,-30,30
Colorado College,Yes,All / Permanent Policy,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,0.135,1300,1480,29,33,1340,1460,-40,20
Harvey Mudd College,Yes,2021,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,0.13699999999999998,1490,1570,33,35,1460,1540,30,30
Georgetown University,Yes,2021,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,0.145,1370,1530,31,34,1400,1500,-30,30
University of California—​Berkeley,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.14800000000000002,1300,1530,28,34,1310,1500,-10,30
